Time (s),Current (A),Voltage (V),Temperature (K)
336.3237,1.000000e-01,0.003026421,197.620
337.1832,1.000000e-01,0.003023936,197.300
338.0651,1.000000e-01,0.003019316,197.010
338.9479,1.000000e-01,0.003013683,196.680
339.8283,1.000000e-01,0.003008982,196.370
340.7098,1.000000e-01,0.003003469,196.070
341.5920,1.000000e-01,0.003000307,195.720
342.4737,1.000000e-01,0.002996255,195.450
343.3406,1.000000e-01,0.002990610,195.120
344.2216,1.000000e-01,0.002986957,194.790
345.0537,1.000000e-01,0.002983550,194.470
345.8861,1.000000e-01,0.002983514,194.180
346.7676,1.000000e-01,0.002979328,194.180
347.5989,1.000000e-01,0.002976100,193.880
348.4801,1.000000e-01,0.002972130,193.550
349.4751,1.000000e-01,0.002969511,192.950
350.3413,1.000000e-01,0.002963378,192.950
351.3344,1.000000e-01,0.002957601,192.360
352.2035,1.000000e-01,0.002955478,192.030
353.0841,1.000000e-01,0.002950404,192.030
353.9156,1.000000e-01,0.002948764,191.730
354.7979,1.000000e-01,0.002945431,191.450
355.6818,1.000000e-01,0.002938806,191.120
356.5641,1.000000e-01,0.002935459,190.830
357.4550,1.000000e-01,0.002932563,190.520
358.3275,1.000000e-01,0.002926631,190.220
359.3491,1.000000e-01,0.002923022,189.890
360.1920,1.000000e-01,0.002917761,189.610
361.0749,1.000000e-01,0.002914967,189.300
361.9550,1.000000e-01,0.002910182,188.980
362.8366,1.000000e-01,0.002909090,188.700
363.7182,1.000000e-01,0.002903162,188.400
364.6009,1.000000e-01,0.002899247,188.110
365.4819,1.000000e-01,0.002894158,187.810
366.3644,1.000000e-01,0.002891699,187.510
367.2462,1.000000e-01,0.002886069,187.230
368.1272,1.000000e-01,0.002882486,186.940
369.0092,1.000000e-01,0.002879346,186.640
369.8909,1.000000e-01,0.002874755,186.360
370.7733,1.000000e-01,0.002870114,186.060
371.6541,1.000000e-01,0.002868864,185.780
372.5351,1.000000e-01,0.002862873,185.480
373.5130,1.000000e-01,0.002860327,185.200
374.3987,1.000000e-01,0.002856380,184.910
375.2793,1.000000e-01,0.002853011,184.630
376.1605,1.000000e-01,0.002851558,184.330
377.0432,1.000000e-01,0.002847299,184.050
377.9088,1.000000e-01,0.002842547,183.790
378.7411,1.000000e-01,0.002837346,183.540
379.5731,1.000000e-01,0.002837449,183.190
380.4084,1.000000e-01,0.002832367,182.930
381.2866,1.000000e-01,0.002825354,182.650
382.1675,1.000000e-01,0.002821267,182.360
383.0503,1.000000e-01,0.002816478,182.080
383.9311,1.000000e-01,0.002814123,181.800
384.8122,1.000000e-01,0.002811800,181.530
385.6943,1.000000e-01,0.002808062,181.270
386.5760,1.000000e-01,0.002805226,180.970
387.4435,1.000000e-01,0.002800067,180.730
388.3241,1.000000e-01,0.002797277,180.450
389.2056,1.000000e-01,0.002791767,180.170
390.0374,1.000000e-01,0.002789785,179.890
390.9178,1.000000e-01,0.002787023,179.620
391.7502,1.000000e-01,0.002784128,179.320
392.6307,1.000000e-01,0.002781616,179.320
393.5119,1.000000e-01,0.002777853,179.060
394.3960,1.000000e-01,0.002770899,178.800
395.2766,1.000000e-01,0.002768594,178.530
396.1576,1.000000e-01,0.002764271,178.270
397.0410,1.000000e-01,0.002762421,178.000
398.0302,1.000000e-01,0.002758337,177.720
398.9185,1.000000e-01,0.002754051,177.470
399.7837,1.000000e-01,0.002751629,177.210
400.6652,1.000000e-01,0.002747842,176.940
401.5459,1.000000e-01,0.002745473,176.680
402.4278,1.000000e-01,0.002741473,176.410
403.3117,1.000000e-01,0.002742938,176.150
404.1908,1.000000e-01,0.002742890,175.920
405.0723,1.000000e-01,0.002736455,175.660
405.9543,1.000000e-01,0.002731354,175.370
406.8366,1.000000e-01,0.002728454,175.110
407.7189,1.000000e-01,0.002723969,174.860
408.6007,1.000000e-01,0.002719393,174.620
409.4822,1.000000e-01,0.002716599,174.350
410.3646,1.000000e-01,0.002712641,174.090
411.2443,1.000000e-01,0.002710004,173.840
412.1260,1.000000e-01,0.002708278,173.590
412.9927,1.000000e-01,0.002703705,173.330
413.8249,1.000000e-01,0.002698068,173.080
414.7069,1.000000e-01,0.002699151,172.830
415.5384,1.000000e-01,0.002696158,172.590
416.4194,1.000000e-01,0.002692094,172.320
417.2512,1.000000e-01,0.002687712,172.090
418.1336,1.000000e-01,0.002683920,171.830
419.0156,1.000000e-01,0.002683729,171.600
419.8960,1.000000e-01,0.002679832,171.350
420.8815,1.000000e-01,0.002677088,171.120
421.7600,1.000000e-01,0.002674737,170.840
422.6404,1.000000e-01,0.002669372,170.630
423.5216,1.000000e-01,0.002667130,170.380
424.4077,1.000000e-01,0.002667025,170.150
425.2844,1.000000e-01,0.002667003,169.870
426.1659,1.000000e-01,0.002665478,169.660
427.0332,1.000000e-01,0.002660034,169.410
427.9135,1.000000e-01,0.002658003,169.160
428.7939,1.000000e-01,0.002656598,168.960
429.6279,1.000000e-01,0.002651483,168.700
430.5092,1.000000e-01,0.002648968,168.490
431.3875,1.000000e-01,0.002644973,168.490
432.2187,1.000000e-01,0.002643497,168.240
433.0992,1.000000e-01,0.002642316,167.990
433.9802,1.000000e-01,0.002638631,167.790
434.8627,1.000000e-01,0.002636868,167.530
